hour,coffee_carafe,coffee_amount
8,x,0.8161635636322937
9,x,0.45101804381465493
10,x,0.8432785419622613
11,x,0.33553302589126655
12,x,0.8982913932624235
13,x,0.31071109624429993
14,x,0.5072882334084508
15,x,0.21504261115265533
16,x,0.18389118423008366
17,x,0.3915603925830081
8,y,0.18929710204478223
9,y,0.5215018026288706
10,y,0.023162843461714266
11,y,0.2355288383466032
12,y,0.01700918130818918
13,y,0.9974644630382631
14,y,0.058360910310826575
15,y,0.14464356160836056
16,y,0.5446760371864102
17,y,0.5941256108270904
8,z,0.9992641744727777
9,z,0.9159895743081626
10,z,0.14492836034168355
11,z,0.31149533649066785
12,z,0.7719472623210835
13,z,0.39852016304892635
14,z,0.8644641096751222
15,z,0.43636442260575314
16,z,0.2806208901764319
17,z,0.436677204291837
