date,variable,value
2000-01-03,A,-0.4566937492517289
2000-01-03,B,-0.44628673948548997
2000-01-03,C,-0.8396977095202293
2000-01-03,D,0.9633394960796117
2000-01-04,A,-1.7585074176491637
2000-01-04,B,-0.5858740647440205
2000-01-04,C,1.8244104466195514
2000-01-04,D,0.24768830531989838
2000-01-05,A,-1.2334505569941476
2000-01-05,B,0.4832126329235766
2000-01-05,C,0.9281412509557853
2000-01-05,D,-0.5477201573165186
2000-01-06,A,1.0856057684974727
2000-01-06,B,-0.4834945424488459
2000-01-06,C,-1.8972555700073321
2000-01-06,D,0.01662709691426838
2000-01-07,A,2.219913690461059
2000-01-07,B,1.1958580175188946
2000-01-07,C,-0.5069734557918761
2000-01-07,D,-0.49826149675021686
2000-01-10,A,0.16046004349019244
2000-01-10,B,1.230198625027823
2000-01-10,C,-0.4315190058394209
2000-01-10,D,1.8061250635229704
2000-01-11,A,0.4485196770963911
2000-01-11,B,1.2739676210024535
2000-01-11,C,-1.2882758856543073
2000-01-11,D,-1.0339039182084806
2000-01-12,A,-1.5070583335056482
2000-01-12,B,0.9434874628473725
2000-01-12,C,-1.5310711819194733
2000-01-12,D,0.1822354806172964
2000-01-13,A,1.11643348296222
2000-01-13,B,0.8178323202108743
2000-01-13,C,0.020779612008451895
2000-01-13,D,-0.6303345175233257
2000-01-14,A,-0.1874179224744257
2000-01-14,B,1.1154113567734607
2000-01-14,C,-0.3576178695374795
2000-01-14,D,0.7740234639716985
2000-01-17,A,0.19839810358538934
2000-01-17,B,-1.4283429001773622
2000-01-17,C,0.8020385496246158
2000-01-17,D,0.9801250407295009
2000-01-18,A,-1.2858464295757024
2000-01-18,B,-0.6446166234691483
2000-01-18,C,-0.6521770416288172
2000-01-18,D,-2.2455035543127804
2000-01-19,A,0.12460455266097376
2000-01-19,B,-0.967393365547885
2000-01-19,C,0.781993968675528
2000-01-19,D,-1.307695404338124
2000-01-20,A,0.19898588024269248
2000-01-20,B,1.3497004180503478
2000-01-20,C,0.047788987373879196
2000-01-20,D,2.6103635636034364
2000-01-21,A,-0.1689084824586411
2000-01-21,B,0.47477209498255774
2000-01-21,C,0.7530320659849327
2000-01-21,D,-1.0373355256192576
2000-01-24,A,0.9609057785686252
2000-01-24,B,1.1397811111232157
2000-01-24,C,-0.013213792435783392
2000-01-24,D,-0.8773470181070642
2000-01-25,A,1.1012013096114974
2000-01-25,B,0.5098737025383255
2000-01-25,C,-1.7149364153057052
2000-01-25,D,-0.5101254352179918
2000-01-26,A,-1.7422063301417179
2000-01-26,B,2.6117198546964286
2000-01-26,C,0.5722953368116526
2000-01-26,D,1.9541871936368442
2000-01-27,A,-0.10774203711845708
2000-01-27,B,0.07530933603584909
2000-01-27,C,1.2250713862531457
2000-01-27,D,-1.4833973608467181
2000-01-28,A,0.44030840102977736
2000-01-28,B,-0.36642720127399614
2000-01-28,C,-0.13267132132240372
2000-01-28,D,1.7241881923480653
2000-01-31,A,-0.1785369425522952
2000-01-31,B,0.3550610732363748
2000-01-31,C,-1.124556763902658
2000-01-31,D,-0.14750720789333435
2000-02-01,A,-0.9311365707815752
2000-02-01,B,0.7236659500495956
2000-02-01,C,0.6504944035714223
2000-02-01,D,-0.3821870635594639
2000-02-02,A,0.6887055507543441
2000-02-02,B,1.568204634039267
2000-02-02,C,-1.428767687171859
2000-02-02,D,-0.1952998604152971
2000-02-03,A,1.5132953239299476
2000-02-03,B,0.4623905534275646
2000-02-03,C,-0.09672800139585792
2000-02-03,D,3.068088919547243
2000-02-04,A,-1.5775171045142315
2000-02-04,B,0.16522205563230372
2000-02-04,C,-0.5811551027584541
2000-02-04,D,-0.654349217743664
2000-02-07,A,0.23881522611967818
2000-02-07,B,0.044141141637055674
2000-02-07,C,0.6124061903325897
2000-02-07,D,-0.5282028353275223
2000-02-08,A,0.010552405159039949
2000-02-08,B,-0.08884269951673299
2000-02-08,C,3.090799563818908
2000-02-08,D,-0.5559936513090321
2000-02-09,A,0.39856930197076
2000-02-09,B,-0.026253163954181504
2000-02-09,C,-1.579296094965943
2000-02-09,D,0.22640340828331348
2000-02-10,A,1.1553374373238348
2000-02-10,B,0.816306440928062
2000-02-10,C,0.32754303568921367
2000-02-10,D,-1.0494021487892584
2000-02-11,A,-0.17120695381001116
2000-02-11,B,-1.5547166439509823
2000-02-11,C,-0.9507671407801788
2000-02-11,D,-0.007196329050130054
