item_id,item_brand,item_name,item_price,item_upc12,item_upc14
1,Riceland,Riceland American Jazmine Rice,0.84,35200264013,35200264013
2,Caress,Caress Velvet Bliss Ultra Silkening Beauty Bar - 6 Ct,6.44,11111065925,11111065925
3,Earths Best,Earths Best Organic Fruit Yogurt Smoothie Mixed Berry,2.43,23923330139,23923330139
4,Boars Head,Boars Head Sliced White American Cheese - 120 Ct,3.14,208528800007,208528800007
5,Back To Nature,Back To Nature Gluten Free White Cheddar Rice Thin Crackers,2.61,759283100036,759283100036
6,Sally Hansen,Sally Hansen Nail Color Magnetic 903 Silver Elements,6.93,74170388732,74170388732
7,Twinings Of London,Twinings Of London Classics Lady Grey Tea - 20 Ct,9.64,70177154004,70177154004
8,Lea & Perrins,Lea & Perrins Marinade In-a-bag Cracked Peppercorn,1.68,51600080015,51600080015
9,Van De Kamps,Van De Kamps Fillets Beer Battered - 10 Ct,1.79,19600923015,19600923015
10,Ahold,Ahold Cocoa Almonds,3.17,688267141676,688267141676
11,Honest Tea,Honest Tea Peach White Tea,3.93,657622604842,657622604842
12,Mueller,Mueller Sport Care Basic Support Level Medium Elastic Knee Support,8.4,74676640211,74676640211
13,Garnier Nutritioniste,Garnier Nutritioniste Moisture Rescue Fresh Cleansing Foam,6.47,603084234561,603084234561
14,Pamprin,Pamprin Maximum Strength Multi-symptom Menstrual Pain Relief,7.54,41167300121,41167300121
15,Suave,Suave Naturals Moisturizing Body Wash Creamy Tropical Coconut,9.11,79400847201,79400847201
16,Burts Bees,Burts Bees Daily Moisturizing Cream Sensitive,5.17,792850014008,792850014008
17,Ducal,Ducal Refried Red Beans,1.16,88313590791,88313590791
18,Scotch,Scotch Removable Clear Mounting Squares - 35 Ct,4.39,21200725340,21200725340
19,Careone,Careone Family Comb Set - 8 Ct,0.74,41520035646,41520035646
20,Usda Produce,Plums Black,5.62,204040000000,204040000000
21,Doctors Best,Doctors Best Best Curcumin C3 Complex 1000mg Tablets - 120 Ct,8.09,753950001954,753950001954
22,Betty Crocker,Betty Crocker Twin Pack Real Potatoes Scalloped 2 Pouches For 2 Meals - 2 Pk,7.31,16000288829,16000288829
23,Reese,Reese Mandarin Oranges Segments In Light Syrup,1.78,70670009658,70670009658
24,Smart Living,Smart Living Charcoal Lighter Fluid,5.34,688267084225,688267084225
25,Hood,Hood Latte Iced Coffee Drink Vanilla Latte,2.43,44100117428,44100117428
26,Triaminic,Triaminic Syrup Night Time Cold & Cough Grape 4oz,0.98,300436344045,300436344045
27,Morton,Morton Kosher Salt Coarse,6.01,24600017008,24600017008
28,Usda Produce,Guava,7.52,719175900007,719175900007
29,Heinz,Heinz Tomato Ketchup - 2 Ct,8.65,13000001038,13000001038
30,Petmate,Petmate Booda Bones Steak Bacon & Chicken Flavors - 9 Ct,8.39,723503568678,723503568678
31,Zhenas Gypsy Tea,Zhenas Gypsy Tea Herbal Red Tea Sachets Fire Light Chai - 22 Ct,4.21,652790100226,652790100226
32,Barefoot,Barefoot Pinot Grigio  187,0.68,8500004528,8500004528
33,The First Years,Tomy The First Years Gumdrop Orthodontic Pacifiers 6m+ - 2ct,6.52,71463060078,71463060078
34,Halls,Halls Menthol Cough Suppresant/oral Anesthetic Drops Honey-lemon - 30 Ct,4.17,312546628694,312546628694
35,Natures Way,Natures Way Forskohlii - 60 Ct,5.19,33674100066,33674100066
36,Deerfields Gluten Free,Rice Bran Gluten Free Dinner Rolls Plain,7.95,610358991525,610358991525
37,Nakano,Nakano Seasoned Rice Vinegar Original,9.59,73575295003,73575295003
38,Sundown Naturals,Sundown Naturals Essential Electrolytes Tropical Punch Watermelon And Fruit Punch Gummies - 60 Ct,3.45,30768540548,30768540548
39,Munchies,Munchies Sandwich Crackers Cheddar Cheese On Golden Toast Crackers - 8 Pk,9.02,28400029254,28400029254
40,Amys,Amys Light & Lean Spaghetti Italiano,0.6,42272008063,42272008063
41,P.f. Changs,P.f. Changs Home Menu Meal For Two Beef With Broccoli,5.62,31000670016,31000670016
42,Moms Best Naturals,Moms Best Naturals Cereal Toasted Cinnamon Squares,2.97,883978129115,883978129115
43,Ferrara,Ferrara Vanilla Syrup,8.4,71403000379,71403000379
44,Elmers,Elmers Board Mate Dual Tip Glue Pen,7.06,26000001403,26000001403
45,Kelloggs,Kelloggs Disney Pixar Cars 2 Cereal,4.4,38000542237,38000542237
46,Mama Marys,Pizza Sauce,4.65,35457770664,35457770664
47,Bear Naked,Bear Naked Fit Almond Crisp 100 Percent Natural Energy Cereal,7.38,884623708976,884623708976
48,Dove,Dove Men + Care Antiperspirant Deodorant Cool Silver,3.72,79400271631,79400271631
49,Easy-off,Easy-off Oven Cleaner Lemon Scent,9.54,62338879772,62338879772
50,Choice,Choice Organic Teas Black Tea Classic Black - 16 Ct,5.2,47445919221,47445919221
